,movie,bechdel_pass
868,wherehandstouch,1
869,widows,1
870,wildnightswithemily,1
871,thewildpeartree,0
872,wildrose,1
873,wildling,1
874,womanatwar,1
875,you,1
876,z-o-m-b-i-e-s,1
877,zoe,1
878,12feetdeep,1
879,1922,0
880,47metersdown,1
881,6days,0
882,abadmomschristmas,1
883,achristmasprince,1
884,adog'spurpose,0
885,aghoststory,0
886,amanofintegrity,1
887,amanwanted(hatoolyragel),0
888,aroyalwinter,1
889,alexanderirl,0
890,aliencovenant,1
891,alleyezonme,0
892,allthemoneyintheworld,0
893,americanassassin,1
894,americanmade,0
895,amityvilletheawakening,1
896,annaandtheapocalypse,1
897,annabellecreation,1
898,antónioumdoistrês,1
899,apostasy,1
900,theassignment,0
901,atomicblonde,1
902,ava,1
903,babydriver,0
904,thebabysitter,1
905,backtoburgundy(cequenouslie),0
906,bandaid,1
907,barbievideogamehero,1
908,batmanvs.two-face,1
909,battleofthesexes,1
910,baywatch,0
911,beachrats,1
912,beatrizatdinner,1
913,beautyandthebeast,1
914,beforeifall,1
915,thebeguiled,1
916,berlinsyndrome,0
917,thebeyond,1
918,thebigsick,1
919,bigfootbloodtrap,0
920,bladerunner2049,1
921,theboldtype,1
922,boncopbadcop2,0
923,thebookofbirdie,1
924,borgvsmcenroe,0
925,thebossbaby,0
926,thebreadwinner,1
927,thebride,1
928,bright,1
929,burningsands,0
930,bushwick,1
931,thebyebyeman,1
932,callmebyyourname,1
933,canaries,1
934,captainunderpantsthefirstepicmovie,0
935,cars3,1
936,cherrypop,0
937,thecircle,1
938,coco,1
939,thecoinheist,1
940,coldskin,0
941,creep2,0
942,thecured,1
943,daddy'shome2,1
944,danceacademythemovie,1
945,thedarktower,0
946,darkesthour,0
947,deathnote,0
948,thedeathofstalin,0
949,deathrace2050,1
950,deidra&laneyrobatrain,1
951,descendants2,1
952,despicableme3,1
953,detroit,0
954,diaryofawimpykidthelonghaul,0
955,dimthefluorescents,1
956,thedinner,1
957,thedisasterartist,1
958,disco,1
959,thediscovery,1
960,disobedience,1
961,djam,1
962,downsizing,0
963,dunkirk,0
964,elcaminochristmas,0
965,ellibrodelila,1
966,embrasse-moi!,1
967,theemojimovie,0
968,theendless,0
969,theescape,1
970,euphoria,1
971,everythingeverything,1
972,thefateofthefurious,1
973,fate/staynightheaven'sfeel-i.presageflower,0
974,felicite,1
975,thefemalebrain,1
976,ferdinand,1
977,fiftyshadesdarker,1
978,firstreformed,0
979,fistfight,1
980,thefloridaproject,1
981,flower,1
982,forhereortogo?,1
983,theforeigner,0
984,funmomdinner,1
985,gekijobanfairytaildragoncry,1
986,gemini,1
987,geostorm,1
988,gerald'sgame,1
989,getmygun,1
990,getout,1
991,ghostintheshell,1
992,ghoststories,0
993,gifted,1
994,girlstrip,1
995,theglasscastle,1
996,god'sowncountry,0
997,godardmonamour,0
998,goinginstyle,0
999,goodtime,1
1000,goonlastoftheenforcers,0
1001,thegreatestshowman,1
1002,guardiansofthegalaxyvol.2,1
1003,happydeathday,1
1004,thehitman'sbodyguard,1
1005,homeagain,1
1006,hostiles,1
1007,howtobealatinlover,0
1008,icanspeak,1
1009,idon'tfeelathomeinthisworldanymore,1
1010,ikillgiants,1
1011,itonya,1
1012,ildemonedilaplace,0
1013,theincrediblejessicajames,1
1014,ingridgoeswest,1
1015,innanvidor,1
1016,it,1
1017,itcomesatnight,1
1018,jesusbro!,0
1019,jigsaw,1
1020,johnwickchapter2,0
1021,jumanjiwelcometothejungle,1
1022,jusqu'alagarde(custody),1
1023,justiceleague,1
1024,kareragahonkideamutokiwa(closeknit),1
1025,kidnap,1
1026,thekillingofasacreddeer,1
1027,kingarthur,0
1028,kingsmanthegoldencircle,0
1029,kongskullisland,0
1030,lallamada,1
1031,ladybird,1
1032,landline,1
1033,thelastword,1
1034,leanonpete,0
1035,thelears,1
1036,thelegobatmanmovie,1
1037,life,1
1038,thelittlehours,1
1039,logan,1
1040,loganlucky,1
1041,lovingvincent,0
1042,lucky,0
1043,themadones,1
1044,themanwiththeironheart,0
1045,markfeltthemanwhobroughtdownthewhitehouse,0
1046,marshall,0
1047,maryandthewitch'sflower,1
1048,maryshelley,1
1049,maximilian,0
1050,mayhem,1
1051,meganleavy,1
1052,themeyerowitzstories(newandselected),0
1053,mfkz,0
1054,themidwife,1
1055,molly'sgame,1
1056,momanddad,1
1057,monsterhighelectrified,1
1058,mother!,0
1059,themountainbetweenus,1
1060,mr.roosevelt,1
1061,mudbound,1
1062,themummy,0
1063,murderontheorientexpress,1
1064,mycousinrachel,1
1065,myfrienddahmer,0
1066,mylittleponythemovie,1
1067,naked,0
1068,nogemunoraifuzero,1
1069,novitiate,1
1070,thenutjob2nuttybynature,1
1071,okja,1
1072,om+me,1
1073,onbodyandsoul,1
1074,theonlylivingboyinnewyork,0
1075,onlythebrave,0
1076,otherlife,0
1077,outsidein,1
1078,paddington2,1
1079,petitpaysan,0
1080,phantomthread,1
1081,pilgrimage,0
1082,piratesofthecaribbeandeadmentellnotales,0
1083,pitchperfect3,1
1084,plasmaticday,0
1085,pokemonthemovieichooseyou!,1
1086,posoki(directions),0
1087,thepost,1
1088,powerrangers,1
1089,princesscyd,1
1090,professormarstonandthewonderwomen,1
1091,psychthemovie,1
1092,thepunisher,1
1093,revelator,1
1094,revenge,0
1095,rings,0
1096,theritual,0
1097,romanj.israelesq.,1
1098,roughnight,1
1099,sandcastle,0
1100,seagull,1
1101,secretsuperstar,1
1102,sevensisters,1
1103,theshack,1
1104,theshapeofwater,1
1105,sharknado5globalswarming,1
1106,shelter,1
1107,signaturemove,1
1108,singwahamgge,0
1109,snatched,1
1110,thespacebetweenus,1
1111,spider-manhomecoming,1
1112,thesquare,0
1113,starwarsthelastjedi,1
1114,stephanie,1
1115,sundogs,0
1116,sweetvirginia,1
1117,t2trainspotting,1
1118,table19,1
1119,that'snotme,1
1120,thelma,1
1121,thorragnarok,0
1122,thoroughbreds,1
1123,threebillboardsoutsideebbingmissouri,1
1124,tigersarenotafraid,0
1125,tothebone,1
1126,tragedygirls,1
1127,transformersthelastknight,0
1128,tulipfever,1
1129,tuntematonsotilas,1
1130,unbeausoleilinterieur,0
1131,unforgettable,1
1132,unicornstore,1
1133,unlocked,1
1134,valerianandthecityofathousandplanets,0
1135,verónica,1
1136,victoria&abdul,0
1137,thewall,0
1138,warfortheplanetoftheapes,0
1139,warmachine,0
1140,western,0
1141,whatdidjackdo?,0
1142,whathappenedtomonday,1
1143,wheelman,0
1144,thewife,1
1145,wilson,1
1146,windriver,1
1147,wishupon,1
1148,wolfwarrior2,0
1149,wonder,1
1150,wonderwheel,1
1151,wonderwoman,1
1152,xxxreturnofxandercage,1
1153,yougetme,1
1154,youwereneverreallyhere,0
1155,10cloverfieldlane,1
1156,10daysinamadhouse,1
1157,13hours,0
1158,20thcenturywomen,1
1159,the5thwave,0
1160,the9thlifeoflouisdrax,0
1161,acureforwellness,0
1162,adarksong,0
1163,amonstercalls,1
1164,aquietpassion,1
1165,aunitedkingdom,1
1166,absolutelyfabulousthemovie,1
1167,theaccountant,0
1168,adultlifeskills,1
1169,adventuresinbabysitting,1
1170,alicethroughthelookingglass,1
1171,allgirlsweekend,1
1172,allied,1
1173,almostchristmas,1
1174,alwaysshine,1
1175,americancrimestory,1
1176,americanhoney,1
1177,theangrybirdsmovie,0
1178,approachingtheunknown,0
1179,aquarius,1
1180,arrival,1
1181,aruvi,1
1182,assassin'screed,0
1183,theautopsyofjanedoe,0
1184,badmoms,1
1185,ballerina,1
1186,banggang,1
1187,barbahar,1
1188,barbershopthenextcut,1
1189,batmanvsupermandawnofjustice,0
1190,batmanbadblood,1
1191,batmanreturnofthecapedcrusaders,0
1192,batmanthekillingjoke,0
1193,besomebody,1
1194,belgica,0
1195,thebelkoexperiment,1
1196,belowhermouth,1
1197,ben-hur,0
1198,betterwatchout,1
1199,thebfg,1
1200,bigfish&begonia,1
1201,billions,1
